application_for,open_date_year,response_rate_met,ballots_cast,ballots_distributed,poll_result,open_date,ballot_return_rate,ballot_in_favour_rate
Boulevard Cafe,2016,No,28,162,Response Rate Not Met,2016-11-07,0.1728,0.8095
Front Yard Parking,2016,Yes,47,70,In Favour,2016-11-03,0.6714,0.9773
Permit Parking,2016,No,5,31,Response Rate Not Met,2016-11-03,0.1613,0.4
Front Yard Parking,2016,Yes,57,105,In Favour,2016-11-08,0.5429,0.8723
Appeal - Front Yard Parking,2016,Yes,45,90,Opposed,2016-11-07,0.5,0.5349
Front Yard Parking,2016,Yes,49,83,In Favour,2016-11-07,0.5904,1
Front Yard Parking,2016,Yes,33,59,In Favour,2016-11-10,0.5593,0.8788
Front Yard Parking,2016,Yes,39,82,In Favour,2016-11-09,0.4756,0.8857
Front Yard Parking,2016,Yes,26,83,In Favour,2016-11-08,0.3133,0.9615
Front Yard Parking,2016,Yes,27,53,In Favour,2016-11-09,0.5094,0.963
Appeal - Front Yard Parking,2016,Yes,65,135,In Favour,2016-11-08,0.4815,0.9167
Appeal - Front Yard Parking,2016,Yes,44,92,In Favour,2016-11-08,0.4783,1
Appeal - Front Yard Parking,2016,Yes,47,70,In Favour,2016-11-09,0.6714,1
Appeal - Front Yard Parking,2016,Yes,37,93,Opposed,2016-11-10,0.3978,0.6
Commercial Boulevard Parking,2016,Yes,23,64,Opposed,2016-11-14,0.3594,0.5
Front Yard Parking,2016,Yes,38,104,Opposed,2016-11-17,0.3654,0.3611
Front Yard Parking,2016,Yes,67,156,In Favour,2016-11-09,0.4295,0.8387
Front Yard Parking,2016,Yes,41,74,In Favour,2016-11-10,0.5541,0.8235
Front Yard Parking,2016,Yes,56,109,In Favour,2016-11-16,0.5138,1
Boulevard Cafe,2016,No,20,99,Response Rate Not Met,2016-11-17,0.202,1
Appeal - Front Yard Parking,2016,Yes,47,78,In Favour,2016-11-16,0.6026,0.9111
Appeal - Front Yard Parking,2016,Yes,48,83,In Favour,2016-11-17,0.5783,0.913
Front Yard Parking,2016,Yes,11,20,In Favour,2016-11-21,0.55,1
Front Yard Parking,2016,Yes,32,47,In Favour,2016-11-24,0.6809,0.9355
Front Yard Parking,2016,Yes,26,42,In Favour,2016-11-24,0.619,1
Commercial Boulevard Parking,2016,No,3,24,Response Rate Not Met,2016-12-22,0.125,1
Front Yard Parking,2016,Yes,36,97,In Favour,2016-11-23,0.3711,1
Front Yard Parking,2016,Yes,7,19,In Favour,2016-11-30,0.3684,1
Front Yard Parking,2016,Yes,32,38,In Favour,2016-11-23,0.8421,1
Front Yard Parking,2016,Yes,63,102,In Favour,2016-11-24,0.6176,0.873
Traffic Calming,2016,Yes,30,55,In Favour,2016-12-05,0.5455,0.7037
Traffic Calming,2016,No,70,163,Response Rate Not Met,2016-12-06,0.4294,0.6212
Appeal - Front Yard Parking,2016,Yes,33,42,In Favour,2016-12-08,0.7857,0.9688
Appeal - Front Yard Parking,2016,Yes,25,97,In Favour,2016-12-12,0.2577,0.8333
Appeal - Front Yard Parking,2016,Yes,29,65,Opposed,2016-12-12,0.4462,0.4138
Appeal - Front Yard Parking,2016,Yes,16,38,In Favour,2016-12-14,0.4211,0.75
Appeal - Front Yard Parking,2016,Yes,32,66,In Favour,2016-12-22,0.4848,0.9375
Appeal - Front Yard Parking,2016,Yes,54,96,In Favour,2016-12-19,0.5625,1
Appeal - Front Yard Parking,2016,Yes,53,135,Opposed,2016-12-12,0.3926,0.449
Appeal - Front Yard Parking,2016,Yes,26,70,Opposed,2016-12-19,0.3714,0.5714
Front Yard Parking,2016,Yes,46,107,In Favour,2016-12-19,0.4299,0.9756
Front Yard Parking,2016,Yes,41,65,In Favour,2016-12-20,0.6308,1
Front Yard Parking,2016,Yes,28,39,In Favour,2016-12-20,0.7179,1
Permit Parking,2017,Yes,40,140,Opposed,2017-01-12,0.2857,0.4848
Boulevard Cafe,2017,Yes,25,92,In Favour,2017-02-09,0.2717,0.6818
Permit Parking,2016,Yes,56,205,In Favour,2016-12-21,0.2732,0.8462
Permit Parking,2017,Yes,10,22,In Favour,2017-01-09,0.4545,0.7
Front Yard Parking,2016,Yes,34,76,In Favour,2016-12-21,0.4474,1
Boulevard Cafe,2017,Yes,35,65,In Favour,2017-01-10,0.5385,0.7143
Front Yard Parking,2017,Yes,16,54,In Favour,2017-01-11,0.2963,0.9286
Front Yard Parking,2017,Yes,27,60,In Favour,2017-01-11,0.45,0.9615
Front Yard Parking,2017,Yes,36,50,In Favour,2017-01-12,0.72,0.9429
Front Yard Parking,2017,Yes,45,133,In Favour,2017-01-11,0.3383,0.9
Front Yard Parking,2017,Yes,5,11,In Favour,2017-01-19,0.4545,1
Front Yard Parking,2017,Yes,24,40,In Favour,2017-01-12,0.6,1
Permit Parking,2017,Yes,26,61,Opposed,2017-01-17,0.4262,0.5217
Permit Parking,2017,Yes,66,121,Opposed,2017-01-19,0.5455,0.254
Appeal - Front Yard Parking,2017,Yes,34,107,In Favour,2017-01-31,0.3178,0.9394
Front Yard Parking,2017,Yes,56,97,In Favour,2017-01-25,0.5773,1
Front Yard Parking,2017,Yes,13,41,In Favour,2017-01-24,0.3171,1
Front Yard Parking,2017,Yes,35,74,In Favour,2017-01-26,0.473,1
Appeal - Front Yard Parking,2017,Yes,20,37,Opposed,2017-01-26,0.5405,0.2
Front Yard Parking,2017,Yes,23,31,In Favour,2017-01-26,0.7419,0.9565
Permit Parking,2017,Yes,15,21,Opposed,2017-02-01,0.7143,0.4615
Permit Parking,2017,Yes,62,167,In Favour,2017-02-01,0.3713,0.5614
Permit Parking,2017,Yes,34,57,Opposed,2017-01-31,0.5965,0.2353
Front Yard Parking,2017,Yes,52,111,In Favour,2017-02-07,0.4685,0.7143
Appeal - Front Yard Parking,2017,Yes,58,79,In Favour,2017-02-06,0.7342,1
Front Yard Parking,2017,Yes,53,100,In Favour,2017-02-06,0.53,0.9615
Front Yard Parking,2017,Yes,59,102,In Favour,2017-02-13,0.5784,1
Appeal - Front Yard Parking,2017,Yes,79,185,In Favour,2017-02-21,0.427,0.9296
Appeal - Front Yard Parking,2017,Yes,28,79,In Favour,2017-02-21,0.3544,1
Front Yard Parking,2017,Yes,45,116,In Favour,2017-02-14,0.3879,1
Appeal - Front Yard Parking,2017,Yes,66,165,In Favour,2017-02-16,0.4,0.9464
Appeal - Front Yard Parking,2017,Yes,54,130,In Favour,2017-02-21,0.4154,0.8511
Appeal - Front Yard Parking,2017,Yes,85,138,In Favour,2017-02-13,0.6159,0.7375
Boulevard Cafe,2017,Yes,3,14,Opposed,2017-02-27,0.2143,0.6667
Boulevard Cafe,2017,Yes,42,87,Opposed,2017-03-06,0.4828,0.2
Front Yard Parking,2017,Yes,46,99,In Favour,2017-03-13,0.4646,0.725
Front Yard Parking,2017,Yes,12,26,In Favour,2017-03-20,0.4615,1
Front Yard Parking,2017,Yes,52,115,In Favour,2017-03-14,0.4522,0.9556
Front Yard Parking,2017,Yes,36,96,In Favour,2017-03-14,0.375,1
Front Yard Parking,2017,Yes,23,40,In Favour,2017-03-15,0.575,1
Front Yard Parking,2017,Yes,33,64,In Favour,2017-03-22,0.5156,1
Front Yard Parking,2017,Yes,42,98,In Favour,2017-03-13,0.4286,0.7838
Front Yard Parking,2017,Yes,45,94,In Favour,2017-03-15,0.4787,0.8571
Front Yard Parking,2017,Yes,15,34,In Favour,2017-03-23,0.4412,1
Appeal - Front Yard Parking,2017,Yes,47,116,In Favour,2017-03-20,0.4052,0.9535
Appeal - Front Yard Parking,2017,Yes,40,111,In Favour,2017-03-22,0.3604,0.8718
Appeal - Front Yard Parking,2017,Yes,19,70,In Favour,2017-03-21,0.2714,0.8947
Permit Parking,2017,Yes,23,48,In Favour,2017-03-22,0.4792,0.6522
Front Yard Parking,2017,Yes,12,18,In Favour,2017-03-23,0.6667,1
Appeal - Front Yard Parking,2017,Yes,12,44,In Favour,2017-03-23,0.2727,0.8
Traffic Calming,2017,Yes,13,21,Opposed,2017-04-04,0.619,0.4615
Traffic Calming,2017,No,97,238,Response Rate Not Met,2017-03-30,0.4076,0.6774
Traffic Calming,2017,No,30,84,Response Rate Not Met,2017-03-30,0.3571,0.9259
Boulevard Cafe,2017,Yes,13,39,In Favour,2017-03-27,0.3333,1
Front Yard Parking,2017,Yes,39,106,In Favour,2017-04-03,0.3679,0.9429
Front Yard Parking,2017,Yes,20,46,In Favour,2017-04-03,0.4348,1
Front Yard Parking,2017,Yes,46,75,In Favour,2017-03-30,0.6133,0.8222
Traffic Calming,2017,No,68,160,Response Rate Not Met,2017-04-03,0.425,0.9032
Front Yard Parking,2017,Yes,41,88,In Favour,2017-04-05,0.4659,0.9394
Front Yard Parking,2017,Yes,37,75,In Favour,2017-04-05,0.4933,1
Appeal - Front Yard Parking,2017,Yes,28,77,In Favour,2017-04-06,0.3636,0.8333
Front Yard Parking,2017,Yes,55,120,In Favour,2017-04-11,0.4583,0.8148
Boulevard Cafe,2017,No,6,49,Response Rate Not Met,2017-04-10,0.1224,0.1667
Boulevard Cafe,2017,No,5,38,Response Rate Not Met,2017-04-10,0.1316,0.8
Traffic Calming,2017,Yes,56,89,Opposed,2017-04-12,0.6292,0.5882
Traffic Calming,2017,No,124,271,Response Rate Not Met,2017-04-20,0.4576,0.789
Traffic Calming,2017,Yes,75,132,In Favour,2017-04-13,0.5682,0.7397
Front Yard Parking,2017,Yes,55,89,In Favour,2017-04-13,0.618,0.86
Appeal - Front Yard Parking,2017,Yes,32,103,In Favour,2017-04-18,0.3107,0.9032
Appeal - Front Yard Parking,2017,Yes,6,21,In Favour,2017-04-18,0.2857,1
Appeal - Front Yard Parking,2017,Yes,55,122,Opposed,2017-04-13,0.4508,0.3654
Appeal - Front Yard Parking,2017,Yes,31,120,In Favour,2017-04-20,0.2583,0.7419
Appeal - Front Yard Parking,2017,Yes,31,49,Opposed,2017-04-13,0.6327,0.3333
Appeal - Front Yard Parking,2017,Yes,23,51,In Favour,2017-04-18,0.451,0.8571
Appeal - Front Yard Parking,2017,Yes,58,142,In Favour,2017-04-19,0.4085,0.8
Appeal - Front Yard Parking,2017,Yes,32,63,In Favour,2017-04-24,0.5079,0.9677
Appeal - Front Yard Parking,2017,Yes,11,28,In Favour,2017-04-24,0.3929,1
Appeal - Front Yard Parking,2017,Yes,67,129,In Favour,2017-04-20,0.5194,0.8871
Front Yard Parking,2017,Yes,55,93,In Favour,2017-04-25,0.5914,0.9245
Front Yard Parking,2017,Yes,54,128,In Favour,2017-04-25,0.4219,1
Front Yard Parking,2017,Yes,44,120,In Favour,2017-04-26,0.3667,0.8889
Appeal - Front Yard Parking,2017,Yes,30,68,In Favour,2017-05-10,0.4412,0.9286
Traffic Calming,2017,No,93,194,Response Rate Not Met,2017-05-25,0.4794,0.5897
Front Yard Parking,2017,Yes,21,88,In Favour,2017-05-25,0.2386,0.8889
Front Yard Parking,2017,Yes,33,54,In Favour,2017-05-23,0.6111,0.9355
Front Yard Parking,2017,Yes,27,54,Opposed,2017-05-25,0.5,0.619
Traffic Calming,2017,No,519,1258,Response Rate Not Met,2017-05-29,0.4126,0.653
Traffic Calming,2017,Yes,18,31,In Favour,2017-05-23,0.5806,0.8235
Traffic Calming,2017,Yes,38,67,In Favour,2017-05-31,0.5672,0.7941
Front Yard Parking,2017,Yes,31,129,In Favour,2017-06-01,0.2403,0.7407
Boulevard Cafe,2017,No,6,39,Response Rate Not Met,2017-06-05,0.1538,0.8333
Appeal - Front Yard Parking,2017,Yes,42,119,In Favour,2017-06-08,0.3529,0.6923
Boulevard Cafe,2017,Yes,48,117,Opposed,2017-06-06,0.4103,0.3256
Boulevard Cafe,2017,Yes,11,26,In Favour,2017-06-13,0.4231,0.7273
Boulevard Cafe,2017,Yes,21,93,In Favour,2017-06-06,0.2258,0.7619
Boulevard Cafe,2017,No,31,137,Response Rate Not Met,2017-06-07,0.2263,0.1818
Boulevard Cafe,2017,Yes,11,27,In Favour,2017-06-12,0.4074,1
Traffic Calming,2017,Yes,133,279,In Favour,2017-06-12,0.4767,0.6875
Boulevard Cafe,2017,No,7,57,Response Rate Not Met,2017-06-08,0.1228,1
Traffic Calming,2017,Yes,112,187,In Favour,2017-06-12,0.5989,0.7647
Boulevard Cafe,2017,Yes,37,81,In Favour,2017-06-15,0.4568,0.5714
Boulevard Cafe,2017,No,8,39,Response Rate Not Met,2017-06-13,0.2051,0.125
Traffic Calming,2017,No,109,265,Response Rate Not Met,2017-06-15,0.4113,0.7812
Traffic Calming,2017,No,32,107,Response Rate Not Met,2017-06-19,0.2991,0.7333
Traffic Calming,2017,No,57,120,Response Rate Not Met,2017-06-20,0.475,0.8627
Appeal - Front Yard Parking,2017,Yes,53,129,Opposed,2017-06-26,0.4109,0.3462
Appeal - Front Yard Parking,2017,Yes,51,129,Opposed,2017-06-26,0.3953,0.34
Appeal - Front Yard Parking,2017,Yes,32,76,Opposed,2017-06-22,0.4211,0.5714
Boulevard Cafe,2017,No,3,226,Response Rate Not Met,2017-06-21,0.0133,0.6667
Boulevard Cafe,2017,No,18,114,Response Rate Not Met,2017-06-21,0.1579,0.3571
Traffic Calming,2017,No,18,55,Response Rate Not Met,2017-06-22,0.3273,0.5
Front Yard Parking,2017,Yes,32,40,In Favour,2017-06-20,0.8,1
Front Yard Parking,2017,Yes,28,45,In Favour,2017-06-22,0.6222,0.6538
Permit Parking,2017,Yes,32,58,Opposed,2017-06-29,0.5517,0.25
Traffic Calming,2017,No,1,4,Response Rate Not Met,2017-06-29,0.25,1
Permit Parking,2017,Yes,17,62,Opposed,2017-06-28,0.2742,0.2353
Front Yard Parking,2017,Yes,41,68,Opposed,2017-06-28,0.6029,0.2105
Traffic Calming,2017,Yes,101,188,In Favour,2017-07-24,0.5372,0.732
Traffic Calming,2017,No,87,198,Response Rate Not Met,2017-07-26,0.4394,0.8571
Traffic Calming,2017,No,74,223,Response Rate Not Met,2017-07-26,0.3318,0.7391
Traffic Calming,2017,Yes,53,109,In Favour,2017-07-25,0.4862,0.8627
Boulevard Cafe,2017,Yes,36,98,In Favour,2017-07-12,0.3673,0.7419
Traffic Calming,2017,No,28,55,Response Rate Not Met,2017-07-27,0.5091,0.72
Traffic Calming,2017,No,11,25,Response Rate Not Met,2017-07-26,0.44,0.9
Traffic Calming,2017,Yes,25,42,In Favour,2017-07-25,0.5952,0.8696
Traffic Calming,2017,Yes,28,41,In Favour,2017-07-24,0.6829,0.8929
Front Yard Parking,2017,Yes,42,78,In Favour,2017-07-31,0.5385,1
Front Yard Parking,2017,Yes,22,57,In Favour,2017-07-27,0.386,0.7727
Front Yard Parking,2017,Yes,25,86,Opposed,2017-07-27,0.2907,0.6842
Appeal - Front Yard Parking,2017,Yes,16,19,In Favour,2017-07-31,0.8421,0.875
Traffic Calming,2017,No,49,180,Response Rate Not Met,2017-08-09,0.2722,0.5417
Permit Parking,2017,No,82,555,Response Rate Not Met,2017-08-31,0.1477,0.8696
Front Yard Parking,2017,Yes,28,43,In Favour,2017-08-01,0.6512,1
Front Yard Parking,2017,Yes,42,124,In Favour,2017-08-01,0.3387,0.7805
Appeal - Front Yard Parking,2017,Yes,30,96,In Favour,2017-08-08,0.3125,0.9643
Appeal - Front Yard Parking,2017,Yes,57,146,Opposed,2017-08-01,0.3904,0.3333
Appeal - Front Yard Parking,2017,Yes,62,127,In Favour,2017-08-03,0.4882,0.8077
Appeal - Front Yard Parking,2017,Yes,46,70,In Favour,2017-08-03,0.6571,0.8864
Appeal - Front Yard Parking,2017,Yes,31,73,Opposed,2017-08-08,0.4247,0.5172
Appeal - Front Yard Parking,2017,Yes,36,83,Opposed,2017-08-08,0.4337,0.4571
Proposed Business Improvement Area,2017,Yes,15,19,In Favour,2017-08-08,0.7895,0.8
Front Yard Parking,2017,Yes,15,50,In Favour,2017-08-09,0.3,0.8571
Boulevard Cafe,2017,No,33,160,Response Rate Not Met,2017-08-10,0.2062,0.1515
Front Yard Parking,2017,Yes,32,62,In Favour,2017-08-21,0.5161,0.9667
Front Yard Parking,2017,Yes,42,88,In Favour,2017-08-22,0.4773,0.6905
Permit Parking,2017,No,6,54,Response Rate Not Met,2017-09-11,0.1111,0
Boulevard Cafe,2017,Yes,33,108,Opposed,2017-09-06,0.3056,0.6154
Traffic Calming,2017,Yes,32,69,Opposed,2017-09-14,0.4638,0.3871
Traffic Calming,2017,No,36,117,Response Rate Not Met,2017-09-14,0.3077,0.7778
Front Yard Parking,2017,Yes,29,59,In Favour,2017-09-07,0.4915,0.96
Front Yard Parking,2017,Yes,38,90,In Favour,2017-09-13,0.4222,0.9429
Traffic Calming – Island,2017,Yes,140,275,Opposed,2017-09-14,0.5091,0.542
Traffic Calming – Island,2017,Yes,229,396,Opposed,2017-09-18,0.5783,0.3649
Boulevard Cafe,2017,No,2,32,Response Rate Not Met,2017-09-19,0.0625,0.5
Front Yard Parking,2017,Yes,24,70,In Favour,2017-09-18,0.3429,0.5417
Appeal - Front Yard Parking,2017,Yes,32,71,Opposed,2017-09-18,0.4507,0.2258
Appeal - Front Yard Parking,2017,Yes,31,56,In Favour,2017-09-19,0.5536,0.9615
Front Yard Parking,2017,Yes,37,74,In Favour,2017-09-19,0.5,0.9643
Traffic Calming,2017,Yes,52,77,Opposed,2017-09-20,0.6753,0.5962
Appeal - Front Yard Parking,2017,Yes,94,150,In Favour,2017-09-25,0.6267,0.8714
Front Yard Parking,2017,Yes,19,45,In Favour,2017-09-20,0.4222,0.9412
Traffic Calming,2017,No,25,402,Response Rate Not Met,2017-10-26,0.0622,1
Traffic Calming,2017,Yes,34,73,Opposed,2017-09-26,0.4658,0.76
Traffic Calming,2017,No,73,165,Response Rate Not Met,2017-09-28,0.4424,0.5217
Traffic Calming,2017,Yes,19,42,In Favour,2017-09-28,0.4524,0.8235
Business Improvement Area,2017,Yes,53,129,In Favour,2017-10-23,0.4109,0.8113
Traffic Calming,2017,No,148,327,Response Rate Not Met,2017-10-12,0.4526,0.7951
Front Yard Parking,2017,Yes,11,13,Opposed,2017-10-10,0.8462,0.4545
Front Yard Parking,2017,Yes,46,100,In Favour,2017-10-05,0.46,0.8261
Traffic Calming,2017,No,54,121,Response Rate Not Met,2017-10-10,0.4463,0.5577
Permit Parking,2017,Yes,22,89,In Favour,2017-10-16,0.2472,0.7273
Boulevard Cafe,2017,Yes,20,67,In Favour,2017-10-11,0.2985,0.8235
Boulevard Cafe,2017,No,40,218,Response Rate Not Met,2017-10-16,0.1835,0.975
Appeal - Front Yard Parking,2017,Yes,47,129,In Favour,2017-10-19,0.3643,0.6522
Appeal - Front Yard Parking,2017,Yes,44,129,In Favour,2017-10-19,0.3411,0.6744
Traffic Calming,2017,Yes,50,92,In Favour,2017-10-31,0.5435,0.8043
Traffic Calming,2017,No,174,387,Response Rate Not Met,2017-11-01,0.4496,0.7628
Traffic Calming,2017,Yes,54,75,In Favour,2017-10-23,0.72,0.7963
Traffic Calming,2017,Yes,57,115,Opposed,2017-10-25,0.4957,0.5818
Traffic Calming,2017,Yes,36,65,Opposed,2017-10-26,0.5538,0.5455
Boulevard Cafe,2017,Yes,39,154,In Favour,2017-10-30,0.2532,0.8108
Front Yard Parking,2017,Yes,74,113,In Favour,2017-10-23,0.6549,0.9718
Appeal - Front Yard Parking,2017,Yes,21,60,Opposed,2017-10-30,0.35,0.3158
Boulevard Cafe,2017,Yes,31,92,In Favour,2017-11-02,0.337,0.7391
Appeal - Front Yard Parking,2017,Yes,23,74,In Favour,2017-10-31,0.3108,0.7727
Traffic Calming,2017,Yes,77,125,In Favour,2017-11-07,0.616,0.8358
Traffic Calming,2017,No,56,113,Response Rate Not Met,2017-11-08,0.4956,0.8491
Traffic Calming,2017,Yes,58,107,Opposed,2017-11-09,0.5421,0.5862
Traffic Calming,2017,No,3,10,Response Rate Not Met,2017-11-09,0.3,1
Traffic Calming,2017,Yes,53,73,Opposed,2017-11-13,0.726,0.5577
Front Yard Parking,2017,No,5,28,Response Rate Not Met,2017-11-09,0.1786,1
Front Yard Parking,2017,Yes,52,79,In Favour,2017-11-13,0.6582,1
Traffic Calming,2017,No,72,235,Response Rate Not Met,2017-11-30,0.3064,0.7288
Traffic Calming,2017,No,60,206,Response Rate Not Met,2017-11-30,0.2913,0.8372
Traffic Calming,2017,Yes,40,89,Opposed,2017-11-20,0.4494,0.5862
Traffic Calming,2017,Yes,57,95,In Favour,2017-11-23,0.6,0.7963
Front Yard Parking,2017,Yes,30,50,Opposed,2017-12-04,0.6,0.2759
Appeal - Front Yard Parking,2017,Yes,42,83,In Favour,2017-12-04,0.506,0.9714
Traffic Calming,2017,No,3,11,Response Rate Not Met,2017-12-04,0.2727,0.6667
Traffic Calming,2017,No,10,42,Response Rate Not Met,2017-12-11,0.2381,1
Traffic Calming,2017,Yes,34,49,In Favour,2017-12-12,0.6939,1
Front Yard Parking,2017,Yes,41,92,In Favour,2017-12-07,0.4457,0.9474
Front Yard Parking,2017,Yes,12,13,In Favour,2017-12-07,0.9231,1
Front Yard Parking,2017,Yes,47,98,In Favour,2017-12-11,0.4796,0.8837
Appeal - Front Yard Parking,2017,Yes,39,145,In Favour,2017-12-13,0.269,0.8286
Boulevard Cafe,2017,Yes,17,54,In Favour,2017-12-18,0.3148,0.75
Appeal - Front Yard Parking,2018,Yes,57,151,In Favour,2018-01-15,0.3775,0.8571
Appeal - Front Yard Parking,2018,Yes,53,96,In Favour,2018-01-16,0.5521,0.9583
Front Yard Parking,2018,Yes,31,46,In Favour,2018-01-18,0.6739,1
Boulevard Cafe,2018,Yes,31,105,Opposed,2018-01-22,0.2952,0.5789
Appeal - Front Yard Parking,2018,Yes,28,81,In Favour,2018-01-18,0.3457,0.96
Appeal - Front Yard Parking,2018,No,12,53,Response Rate Not Met,2018-01-11,0.2264,1
Front Yard Parking,2018,Yes,41,73,In Favour,2018-01-15,0.5616,0.9706
Front Yard Parking,2018,Yes,33,68,In Favour,2018-01-15,0.4853,0.8966
Front Yard Parking,2018,Yes,36,79,In Favour,2018-01-17,0.4557,0.9412
Front Yard Parking,2018,Yes,19,30,In Favour,2018-01-18,0.6333,1
Permit Parking,2018,Yes,101,397,Opposed,2018-02-01,0.2544,0.3469
Permit Parking,2018,No,26,178,Response Rate Not Met,2018-02-01,0.1461,0.15
Permit Parking,2018,No,43,264,Response Rate Not Met,2018-02-01,0.1629,0.2
Front Yard Parking,2018,Yes,33,64,In Favour,2018-01-23,0.5156,1
Front Yard Parking,2018,Yes,23,49,In Favour,2018-02-13,0.4694,1
Front Yard Parking,2018,Yes,21,56,In Favour,2018-01-25,0.375,1
Appeal - Front Yard Parking,2018,Yes,38,56,In Favour,2018-01-29,0.6786,0.5833
Appeal - Front Yard Parking,2018,Yes,26,73,In Favour,2018-02-01,0.3562,1
Appeal - Front Yard Parking,2018,Yes,46,62,In Favour,2018-01-29,0.7419,0.881
Appeal - Front Yard Parking,2018,No,36,165,Response Rate Not Met,2018-01-29,0.2182,0.7097
Appeal - Front Yard Parking,2018,Yes,46,151,In Favour,2018-01-30,0.3046,1
Boulevard Cafe,2018,Yes,33,51,In Favour,2018-02-08,0.6471,0.8387
Traffic Calming,2018,No,25,71,Response Rate Not Met,2018-02-12,0.3521,0.72
Traffic Calming,2018,No,31,119,Response Rate Not Met,2018-02-05,0.2605,0.5172
Appeal - Front Yard Parking,2018,Yes,28,60,Opposed,2018-02-05,0.4667,0.4615
Appeal - Front Yard Parking,2018,Yes,53,185,Opposed,2018-01-31,0.2865,0.5
Traffic Calming,2018,Yes,49,82,In Favour,2018-02-14,0.5976,0.9149
Front Yard Parking,2018,Yes,20,38,In Favour,2018-02-14,0.5263,0.8235
Front Yard Parking,2018,No,17,88,Response Rate Not Met,2018-02-15,0.1932,1
Traffic Calming,2018,No,82,616,Response Rate Not Met,2018-02-14,0.1331,0.8356
Permit Parking,2018,No,22,95,Response Rate Not Met,2018-02-13,0.2316,0.619
Permit Parking,2018,Yes,58,234,Opposed,2018-02-15,0.2479,0.4107
Traffic Calming,2018,Yes,39,69,In Favour,2018-02-15,0.5652,0.8611
Traffic Calming,2018,Yes,123,192,In Favour,2018-02-20,0.6406,0.8205
Appeal - Front Yard Parking,2018,Yes,37,62,In Favour,2018-02-26,0.5968,0.8857
Appeal - Front Yard Parking,2018,Yes,37,62,In Favour,2018-02-27,0.5968,0.9118
Appeal - Front Yard Parking,2018,Yes,11,11,In Favour,2018-02-27,1,1
Appeal - Front Yard Parking,2018,Yes,52,76,In Favour,2018-02-21,0.6842,0.8431
Appeal - Front Yard Parking,2018,Yes,54,106,In Favour,2018-02-21,0.5094,0.7778
Appeal - Front Yard Parking,2018,Yes,13,13,In Favour,2018-02-22,1,1
Front Yard Parking,2018,Yes,32,76,In Favour,2018-02-20,0.4211,1
Front Yard Parking,2018,Yes,41,107,In Favour,2018-02-22,0.3832,0.8919
Front Yard Parking,2018,Yes,29,59,In Favour,2018-02-27,0.4915,1
Front Yard Parking,2018,Yes,32,46,In Favour,2018-03-05,0.6957,0.8276
Front Yard Parking,2018,Yes,63,125,In Favour,2018-03-06,0.504,0.9655
Front Yard Parking,2018,Yes,47,71,In Favour,2018-03-06,0.662,1
Proposed Business Improvement Area,2018,Yes,7,20,In Favour,2018-02-12,0.35,1
Appeal - Front Yard Parking,2018,Yes,30,67,In Favour,2018-02-26,0.4478,0.8929
Front Yard Parking,2018,Yes,33,78,Opposed,2018-02-28,0.4231,0.4516
Appeal - Front Yard Parking,2018,Yes,49,106,Opposed,2018-02-28,0.4623,0.5
Appeal - Front Yard Parking,2018,Yes,43,84,Opposed,2018-03-05,0.5119,0.3023
Appeal - Front Yard Parking,2018,Yes,42,59,In Favour,2018-03-13,0.7119,1
Front Yard Parking,2018,Yes,91,200,In Favour,2018-03-14,0.455,0.9885
Front Yard Parking,2018,Yes,49,183,In Favour,2018-03-07,0.2678,0.8919
Front Yard Parking,2018,Yes,35,75,In Favour,2018-03-15,0.4667,0.9062
Front Yard Parking,2018,Yes,32,128,In Favour,2018-03-19,0.25,1
Traffic Calming,2018,No,120,343,Response Rate Not Met,2018-03-08,0.3499,0.5146
Appeal - Front Yard Parking,2018,No,7,35,Response Rate Not Met,2018-03-13,0.2,0.8333
Traffic Calming,2018,No,122,335,Response Rate Not Met,2018-03-28,0.3642,0.4857
Boulevard Cafe,2018,No,13,135,Response Rate Not Met,2018-03-08,0.0963,0.8333
Permit Parking,2018,Yes,13,19,In Favour,2018-03-19,0.6842,1
Front Yard Parking,2018,Yes,33,58,In Favour,2018-03-20,0.569,1
Front Yard Parking,2018,Yes,58,104,In Favour,2018-03-12,0.5577,0.8889
Appeal - Front Yard Parking,2018,No,5,21,Response Rate Not Met,2018-03-12,0.2381,1
Appeal - Front Yard Parking,2018,Yes,10,42,In Favour,2018-03-07,0.2381,0.8889
Front Yard Parking,2018,Yes,11,43,In Favour,2018-03-14,0.2558,1
Commercial Boulevard Parking,2018,Yes,19,63,In Favour,2018-03-28,0.3016,0.5789
Traffic Calming,2018,Yes,35,55,In Favour,2018-03-15,0.6364,0.697
Appeal - Front Yard Parking,2018,Yes,43,86,In Favour,2018-03-21,0.5,0.6512
Front Yard Parking,2018,Yes,41,103,In Favour,2018-03-20,0.3981,0.8718
Front Yard Parking,2018,Yes,48,104,In Favour,2018-03-21,0.4615,0.8958
Traffic Calming,2018,Yes,131,202,In Favour,2018-03-26,0.6485,0.8699
Appeal - Front Yard Parking,2018,Yes,25,75,In Favour,2018-03-22,0.3333,0.9565
Appeal - Front Yard Parking,2018,Yes,34,64,In Favour,2018-03-26,0.5312,1
Boulevard Cafe,2018,No,31,184,Response Rate Not Met,2018-03-22,0.1685,0.6897
Front Yard Parking,2018,Yes,8,16,In Favour,2018-03-27,0.5,1
